danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,song_popularity
0.764,0.811,1,-5.245,1,0.0323,0.25,0.000112,0.198,0.967,95.024,audio_features,3vX71b5ey9twzyCqJwBEvY,spotify:track:3vX71b5ey9twzyCqJwBEvY,https://api.spotify.com/v1/tracks/3vX71b5ey9twzyCqJwBEvY,https://api.spotify.com/v1/audio-analysis/3vX71b5ey9twzyCqJwBEvY,205507,4,Lucky,40
0.636,0.936,7,-4.01,1,0.047,0.118,0.00044,0.0645,0.686,84.135,audio_features,0B1wjAs2UKxKw80zTfjJXU,spotify:track:0B1wjAs2UKxKw80zTfjJXU,https://api.spotify.com/v1/tracks/0B1wjAs2UKxKw80zTfjJXU,https://api.spotify.com/v1/audio-analysis/0B1wjAs2UKxKw80zTfjJXU,243507,4,Born to Make You Happy,37
0.52,0.55,0,-9.549,0,0.0273,0.677,4.65e-05,0.126,0.181,135.981,audio_features,3HRPCVnNPF46HWnfYgZdQW,spotify:track:3HRPCVnNPF46HWnfYgZdQW,https://api.spotify.com/v1/tracks/3HRPCVnNPF46HWnfYgZdQW,https://api.spotify.com/v1/audio-analysis/3HRPCVnNPF46HWnfYgZdQW,218120,4,Someday (I Will Understand) - 2009 Remaster,25
0.732,0.814,2,-7.716,1,0.0402,0.0307,0.0,0.0691,0.782,116.973,audio_features,4boD5zjJ8Lb0w6chJpK0fE,spotify:track:4boD5zjJ8Lb0w6chJpK0fE,https://api.spotify.com/v1/tracks/4boD5zjJ8Lb0w6chJpK0fE,https://api.spotify.com/v1/audio-analysis/4boD5zjJ8Lb0w6chJpK0fE,232467,4,Estoy Aquí,0
0.736,0.68,11,-5.062,1,0.0389,0.0239,1.81e-05,0.264,0.931,131.032,audio_features,4VwSE0wNwTvHORUXEKkVa4,spotify:track:4VwSE0wNwTvHORUXEKkVa4,https://api.spotify.com/v1/tracks/4VwSE0wNwTvHORUXEKkVa4,https://api.spotify.com/v1/audio-analysis/4VwSE0wNwTvHORUXEKkVa4,186840,4,Te Dejo Madrid,0
0.624,0.818,4,-7.083,0,0.0534,0.132,0.00381,0.294,0.335,120.02,audio_features,0JMoil51BGiPZVRQw644GF,spotify:track:0JMoil51BGiPZVRQw644GF,https://api.spotify.com/v1/tracks/0JMoil51BGiPZVRQw644GF,https://api.spotify.com/v1/audio-analysis/0JMoil51BGiPZVRQw644GF,248067,3,Blue Skies - Fred Falke Radio Edit,0
0.74,0.536,8,-5.222,1,0.0535,0.000771,0.0,0.117,0.7,118.005,audio_features,34hOx449talxUfx2Av2XuS,spotify:track:34hOx449talxUfx2Av2XuS,https://api.spotify.com/v1/tracks/34hOx449talxUfx2Av2XuS,https://api.spotify.com/v1/audio-analysis/34hOx449talxUfx2Av2XuS,171747,4,Fashion,0
0.788,0.826,6,-2.15,0,0.0394,0.133,0.0,0.401,0.759,118.077,audio_features,3G81fQKp3zRnw1mzLmjSKi,spotify:track:3G81fQKp3zRnw1mzLmjSKi,https://api.spotify.com/v1/tracks/3G81fQKp3zRnw1mzLmjSKi,https://api.spotify.com/v1/audio-analysis/3G81fQKp3zRnw1mzLmjSKi,266893,4,Beat Goes On (feat. Kanye West),35
0.23,0.157,7,-17.58,1,0.0608,0.986,0.943,0.111,0.566,86.775,audio_features,6XpYYPfdk2QKegcW4BTKS9,spotify:track:6XpYYPfdk2QKegcW4BTKS9,https://api.spotify.com/v1/tracks/6XpYYPfdk2QKegcW4BTKS9,https://api.spotify.com/v1/audio-analysis/6XpYYPfdk2QKegcW4BTKS9,137000,3,"Cello Suite No. 1 in G Major, BWV 1007: Prelude",0
0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,audio_features,0E9ZjEAyAwOXZ7wJC0PD33,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33,184560,4,In My Mind,82
